gpt label,falcon label,llama label,mpt label,codellama label,Starcoder label,WizardCoder label,Mistral label,Sum,Unnamed: 9,Unnamed: 10,no code,not executed,all test failed,few test passed,all test passed,Unnamed: 16,Unnamed: 17,Unnamed: 18,no code.1,not executed.1,all test failed.1,few test passed.1,all test passed.1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
4.0,2,3,1,3,3,4,4,24,,,0.0,1.0,1.0,3.0,3.0,,,one model,20.0,26.0,35.0,31.0,35.0,,,19.8,25.74,34.65,30.69,34.65
4.0,1,3,1,2,4,4,4,23,,,0.0,2.0,1.0,1.0,4.0,,,two models,4.0,19.0,26.0,12.0,23.0,,,3.96,18.81,25.74,11.88,22.77
4.0,1,1,1,4,2,4,2,19,,,0.0,3.0,2.0,0.0,3.0,,,three models,12.0,26.0,14.0,5.0,8.0,,,11.88,25.74,13.86,4.95,7.92
4.0,2,2,1,4,4,2,0,19,,,1.0,1.0,3.0,0.0,3.0,,,four models,8.0,12.0,3.0,3.0,11.0,,,7.92,11.88,2.97,2.97,10.89
1.0,2,2,2,4,1,1,1,14,,,0.0,4.0,3.0,0.0,1.0,,,five models,1.0,7.0,4.0,0.0,6.0,,,0.99,6.93,3.96,0.0,5.94
2.0,2,2,2,1,2,1,1,13,,,0.0,3.0,5.0,0.0,0.0,,,six models,0.0,2.0,0.0,0.0,3.0,,,0.0,1.98,0.0,0.0,2.97
4.0,1,2,1,0,2,1,1,12,,,1.0,4.0,2.0,0.0,1.0,,,seven models,0.0,1.0,0.0,0.0,3.0,,,0.0,0.99,0.0,0.0,2.97
4.0,1,2,1,4,1,4,4,21,,,0.0,3.0,1.0,0.0,4.0,,,all models,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
4.0,2,2,1,1,1,1,1,13,,,0.0,5.0,2.0,0.0,1.0,,,,,,,,,,,,,,,
3.0,1,1,1,1,3,1,1,12,,,0.0,6.0,0.0,2.0,0.0,,,,,,,,,,,,,,,
4.0,2,2,1,2,3,3,3,20,,,0.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,
3.0,1,1,2,4,4,1,1,17,,,0.0,4.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
3.0,1,2,1,4,4,1,4,20,,,0.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
3.0,1,1,1,4,0,0,0,10,,,3.0,3.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
4.0,2,1,0,1,3,1,3,15,,,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
2.0,1,0,1,0,0,1,0,5,,,4.0,3.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
4.0,2,2,4,4,4,4,4,28,,,0.0,0.0,2.0,0.0,6.0,,,,,,,,,,,,,,,
4.0,1,2,1,1,2,0,0,11,,,2.0,3.0,2.0,0.0,1.0,,,,,,,,,,,,,,,
4.0,1,1,1,2,0,3,1,13,,,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
4.0,2,2,1,1,3,4,1,18,,,0.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,
4.0,2,1,1,4,4,4,1,21,,,0.0,3.0,1.0,0.0,4.0,,,,,,,,,,,,,,,
1.0,3,1,1,3,2,1,2,14,,,0.0,4.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
4.0,1,1,1,4,0,0,0,11,,,3.0,3.0,0.0,0.0,2.0,,,,,,,,,,,,,,,
4.0,0,1,1,1,4,1,1,13,,,1.0,5.0,0.0,0.0,2.0,,,,,,,,,,,,,,,
1.0,1,1,0,1,1,1,1,7,,,1.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
4.0,1,1,0,1,0,0,0,7,,,4.0,3.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
3.0,1,4,1,2,4,1,1,17,,,0.0,4.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
1.0,1,1,1,4,4,4,0,16,,,1.0,4.0,0.0,0.0,3.0,,,,,,,,,,,,,,,
1.0,1,1,0,0,0,0,0,3,,,5.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
4.0,4,4,1,4,4,4,4,29,,,0.0,1.0,0.0,0.0,7.0,,,,,,,,,,,,,,,
4.0,2,4,1,4,4,3,4,26,,,0.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,
4.0,3,4,1,4,4,4,4,28,,,0.0,1.0,0.0,1.0,6.0,,,,,,,,,,,,,,,
4.0,1,1,0,4,4,4,2,20,,,1.0,2.0,1.0,0.0,4.0,,,,,,,,,,,,,,,
4.0,0,2,1,4,2,4,4,21,,,1.0,1.0,2.0,0.0,4.0,,,,,,,,,,,,,,,
3.0,2,2,1,4,4,4,4,24,,,0.0,1.0,2.0,1.0,4.0,,,,,,,,,,,,,,,
4.0,2,2,0,4,2,1,1,16,,,1.0,2.0,3.0,0.0,2.0,,,,,,,,,,,,,,,
1.0,2,4,1,0,2,4,1,15,,,1.0,3.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
4.0,1,4,3,0,0,4,0,16,,,3.0,1.0,0.0,1.0,3.0,,,,,,,,,,,,,,,
4.0,2,2,1,0,0,0,0,9,,,4.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,
4.0,1,2,2,0,0,0,0,9,,,4.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,
4.0,3,4,1,0,2,0,0,14,,,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
4.0,1,4,1,0,0,1,0,11,,,3.0,3.0,0.0,0.0,2.0,,,,,,,,,,,,,,,
4.0,2,0,1,0,1,0,,8,,,3.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
4.0,0,3,1,0,4,1,0,13,,,3.0,2.0,0.0,1.0,2.0,,,,,,,,,,,,,,,
2.0,2,2,1,1,1,3,0,12,,,1.0,3.0,3.0,1.0,0.0,,,,,,,,,,,,,,,
4.0,2,2,1,1,1,2,,13,,,0.0,3.0,3.0,0.0,1.0,,,,,,,,,,,,,,,
4.0,2,1,1,1,4,0,0,13,,,2.0,3.0,1.0,0.0,2.0,,,,,,,,,,,,,,,
4.0,1,2,1,4,4,4,4,24,,,0.0,2.0,1.0,0.0,5.0,,,,,,,,,,,,,,,
4.0,1,0,1,3,0,0,0,9,,,4.0,2.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
3.0,2,4,1,4,0,0,0,14,,,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
4.0,2,1,1,3,3,3,3,20,,,0.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,
4.0,2,4,3,4,4,2,2,25,,,0.0,0.0,3.0,1.0,4.0,,,,,,,,,,,,,,,
4.0,2,3,0,3,0,0,0,12,,,4.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
4.0,3,1,1,0,4,4,4,21,,,1.0,2.0,0.0,1.0,4.0,,,,,,,,,,,,,,,
4.0,1,2,2,0,2,3,0,14,,,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
4.0,2,1,1,1,2,1,0,12,,,1.0,4.0,2.0,0.0,1.0,,,,,,,,,,,,,,,
4.0,0,1,1,1,0,4,0,11,,,3.0,3.0,0.0,0.0,2.0,,,,,,,,,,,,,,,
4.0,2,4,4,4,4,4,4,30,,,0.0,0.0,1.0,0.0,7.0,,,,,,,,,,,,,,,
4.0,2,2,1,4,4,4,4,25,,,0.0,1.0,2.0,0.0,5.0,,,,,,,,,,,,,,,
4.0,1,2,4,3,3,3,0,20,,,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,
3.0,2,2,3,0,3,3,0,16,,,2.0,0.0,2.0,4.0,0.0,,,,,,,,,,,,,,,
4.0,2,2,2,2,3,2,1,18,,,0.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,
4.0,2,4,1,4,4,4,4,27,,,0.0,1.0,1.0,0.0,6.0,,,,,,,,,,,,,,,
4.0,2,4,4,4,4,4,4,30,,,0.0,0.0,1.0,0.0,7.0,,,,,,,,,,,,,,,
4.0,1,1,1,2,1,1,1,12,,,0.0,6.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
4.0,0,1,2,4,4,4,4,23,,,1.0,1.0,1.0,0.0,5.0,,,,,,,,,,,,,,,
3.0,1,3,1,1,4,1,1,15,,,0.0,5.0,0.0,2.0,1.0,,,,,,,,,,,,,,,
4.0,2,4,2,1,4,4,0,21,,,1.0,1.0,2.0,0.0,4.0,,,,,,,,,,,,,,,
2.0,2,2,1,1,4,1,1,14,,,0.0,4.0,3.0,0.0,1.0,,,,,,,,,,,,,,,
2.0,1,2,2,1,2,1,1,12,,,0.0,4.0,4.0,0.0,0.0,,,,,,,,,,,,,,,
4.0,3,0,1,1,0,0,0,9,,,4.0,2.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
3.0,1,2,0,1,0,0,0,7,,,4.0,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
4.0,1,2,1,1,0,0,0,9,,,3.0,3.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
2.0,3,3,1,4,1,4,2,20,,,0.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,
4.0,2,2,3,2,3,2,2,20,,,0.0,0.0,5.0,2.0,1.0,,,,,,,,,,,,,,,
4.0,1,2,1,3,1,2,4,18,,,0.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,
4.0,2,2,3,2,4,1,1,19,,,0.0,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
4.0,2,2,1,1,4,1,1,16,,,0.0,4.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
3.0,3,1,1,1,2,1,1,13,,,0.0,5.0,1.0,2.0,0.0,,,,,,,,,,,,,,,
4.0,2,3,1,3,0,0,0,13,,,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
4.0,1,2,1,3,3,1,2,17,,,0.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
4.0,1,2,1,1,0,1,1,11,,,1.0,5.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
4.0,1,2,2,1,1,1,1,13,,,0.0,5.0,2.0,0.0,1.0,,,,,,,,,,,,,,,
4.0,1,2,1,3,3,3,3,20,,,0.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,
4.0,3,0,2,3,3,1,1,17,,,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,
4.0,3,2,1,4,4,4,4,26,,,0.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,
3.0,2,2,1,3,0,0,0,11,,,3.0,1.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
4.0,1,2,1,4,4,1,1,18,,,0.0,4.0,1.0,0.0,3.0,,,,,,,,,,,,,,,
4.0,3,3,1,4,3,1,1,20,,,0.0,3.0,0.0,3.0,2.0,,,,,,,,,,,,,,,
4.0,1,1,1,3,2,2,0,14,,,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
4.0,1,2,2,4,2,2,2,19,,,0.0,1.0,5.0,0.0,2.0,,,,,,,,,,,,,,,
3.0,1,2,2,4,4,2,2,20,,,0.0,1.0,4.0,1.0,2.0,,,,,,,,,,,,,,,
4.0,2,2,2,4,3,4,4,25,,,0.0,0.0,3.0,1.0,4.0,,,,,,,,,,,,,,,
3.0,1,1,1,4,2,1,1,14,,,0.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
4.0,2,2,1,4,4,4,4,25,,,0.0,1.0,2.0,0.0,5.0,,,,,,,,,,,,,,,
4.0,2,1,1,3,2,2,2,17,,,0.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,,
3.0,1,1,1,4,2,2,2,16,,,0.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
4.0,1,1,1,4,2,2,2,17,,,0.0,3.0,3.0,0.0,2.0,,,,,,,,,,,,,,,
4.0,1,2,1,4,4,4,2,22,,,0.0,2.0,2.0,0.0,4.0,,,,,,,,,,,,,,,
2.0,2,2,1,4,4,1,4,20,,,0.0,2.0,3.0,0.0,3.0,,,,,,,,,,,,,,,
3.0,3,1,1,4,2,2,4,20,,,0.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gpt3.5-turbo,falcon-7b,llama2-7b,mpt-7b,codellama,Starcoder,Wizardcoder,Mistral,,,,,,,,,,,,,,,,,,,,,,
0.0,0,5,5,8,14,20,18,31,,,,,,,,,,,,,,,,,,,,,,
1.0,6,43,29,70,25,11,32,28,,,,,,,,,,,,,,,,,,,,,,
2.0,7,41,45,14,8,20,13,13,,,,,,,,,,,,,,,,,,,,,,
3.0,16,11,8,5,14,15,9,4,,,,,,,,,,,,,,,,,,,,,,
4.0,72,1,14,4,40,35,29,23,,,,,,,,,,,,,,,,,,,,,,
